time_period,name,price_per_night,url
2025-06-26 bis 2025-06-29,Wohnung in St. Gallen,165 CHF,https://www.airbnb.com/rooms/921752024715826992?check_in=2025-06-26&check_out=2025-06-29&search_mode=regular_search&source_impression_id=p3_1742766519_P3W8aH647SEWol_t&previous_page_section_name=1000&federated_search_id=b8130090-39dd-4503-8bba-445e41240638
2025-06-26 bis 2025-06-29,Wohnung in Arbon,125 CHF,https://www.airbnb.com/rooms/1237404752441410253?check_in=2025-06-26&check_out=2025-06-29&search_mode=regular_search&source_impression_id=p3_1742766519_P3sqJntCtXjc_Mes&previous_page_section_name=1000&federated_search_id=b8130090-39dd-4503-8bba-445e41240638
2025-06-26 bis 2025-06-29,Cottage in Heiden,194 CHF,https://www.airbnb.com/rooms/695453496540369105?check_in=2025-06-26&check_out=2025-06-29&search_mode=regular_search&source_impression_id=p3_1742766519_P3Kc6QB9BKb9f1dt&previous_page_section_name=1000&federated_search_id=b8130090-39dd-4503-8bba-445e41240638
2025-06-26 bis 2025-06-29,Wohnung in Bühler,93 CHF,https://www.airbnb.com/rooms/1069314175273429362?check_in=2025-06-26&check_out=2025-06-29&search_mode=regular_search&source_impression_id=p3_1742766519_P30lyOfwb6qzCpHj&previous_page_section_name=1000&federated_search_id=b8130090-39dd-4503-8bba-445e41240638
2025-06-26 bis 2025-06-29,Zimmer in Speicher,67 CHF,https://www.airbnb.com/rooms/989707355431839752?check_in=2025-06-26&check_out=2025-06-29&search_mode=regular_search&category_tag=Tag%3A8678&photo_id=1751481388&source_impression_id=p3_1742766519_P3d0DsSa5oz9yc0c&previous_page_section_name=1000&federated_search_id=b8130090-39dd-4503-8bba-445e41240638
2025-06-26 bis 2025-06-29,Eigentumswohnung in Rorschach,210 CHF,https://www.airbnb.com/rooms/1060397090656689268?check_in=2025-06-26&check_out=2025-06-29&search_mode=regular_search&source_impression_id=p3_1742766533_P3mGkNNE5fsg8OOC&previous_page_section_name=1000&federated_search_id=865968b1-f4b7-43e8-be94-e917d7576dd4
2025-06-26 bis 2025-06-29,Wohnung in St. Gallen,258 CHF,https://www.airbnb.com/rooms/1378777347387696535?check_in=2025-06-26&check_out=2025-06-29&search_mode=regular_search&source_impression_id=p3_1742766533_P3TWQ8OJpBI4ICem&previous_page_section_name=1000&federated_search_id=865968b1-f4b7-43e8-be94-e917d7576dd4
2025-06-26 bis 2025-06-29,Zimmer in St. Gallen,69 CHF,https://www.airbnb.com/rooms/18416428?check_in=2025-06-26&check_out=2025-06-29&search_mode=regular_search&category_tag=Tag%3A8678&photo_id=300284336&source_impression_id=p3_1742766533_P3CBpe3dDtuKQAGY&previous_page_section_name=1000&federated_search_id=865968b1-f4b7-43e8-be94-e917d7576dd4
2025-06-26 bis 2025-06-29,Wohnung in Gais,169 CHF,https://www.airbnb.com/rooms/47321225?check_in=2025-06-26&check_out=2025-06-29&search_mode=regular_search&source_impression_id=p3_1742766533_P3y0U56wGUnxvnmc&previous_page_section_name=1000&federated_search_id=865968b1-f4b7-43e8-be94-e917d7576dd4
2025-06-26 bis 2025-06-29,Wohnung in Arbon,88 CHF,https://www.airbnb.com/rooms/1188688841900300676?check_in=2025-06-26&check_out=2025-06-29&search_mode=regular_search&source_impression_id=p3_1742766533_P3e1PyDDqXfxio6F&previous_page_section_name=1000&federated_search_id=865968b1-f4b7-43e8-be94-e917d7576dd4
2025-06-26 bis 2025-06-29,Zimmer in St. Gallen,53 CHF,https://www.airbnb.com/rooms/27572098?check_in=2025-06-26&check_out=2025-06-29&search_mode=regular_search&category_tag=Tag%3A8678&photo_id=555263690&source_impression_id=p3_1742766533_P3p3U-0lFvWugc1t&previous_page_section_name=1000&federated_search_id=865968b1-f4b7-43e8-be94-e917d7576dd4
2025-06-26 bis 2025-06-29,Wohnung in Herisau,184 CHF,https://www.airbnb.com/rooms/976660285467973872?check_in=2025-06-26&check_out=2025-06-29&search_mode=regular_search&source_impression_id=p3_1742766533_P3k6uLOvL0jVbBZE&previous_page_section_name=1000&federated_search_id=865968b1-f4b7-43e8-be94-e917d7576dd4
2025-06-26 bis 2025-06-29,Zimmer in Rorschach,61 CHF,https://www.airbnb.com/rooms/48309195?check_in=2025-06-26&check_out=2025-06-29&search_mode=regular_search&category_tag=Tag%3A8678&photo_id=1207264214&source_impression_id=p3_1742766533_P3ByaEefcf2_Zjni&previous_page_section_name=1000&federated_search_id=865968b1-f4b7-43e8-be94-e917d7576dd4
2025-06-26 bis 2025-06-29,Loft in Gais,138 CHF,https://www.airbnb.com/rooms/39167516?check_in=2025-06-26&check_out=2025-06-29&search_mode=regular_search&source_impression_id=p3_1742766533_P3epOP40ZVAWlvWp&previous_page_section_name=1000&federated_search_id=865968b1-f4b7-43e8-be94-e917d7576dd4
2025-06-26 bis 2025-06-29,Wohnung in Arbon,184 CHF,https://www.airbnb.com/rooms/989690636614531285?check_in=2025-06-26&check_out=2025-06-29&search_mode=regular_search&source_impression_id=p3_1742766533_P307LpFIK1sxAcUB&previous_page_section_name=1000&federated_search_id=865968b1-f4b7-43e8-be94-e917d7576dd4
2025-06-26 bis 2025-06-29,Zimmer in St. Gallen,73 CHF,https://www.airbnb.com/rooms/1146826255025317226?check_in=2025-06-26&check_out=2025-06-29&search_mode=regular_search&category_tag=Tag%3A8678&photo_id=1896409948&source_impression_id=p3_1742766533_P3S_5TOJ8HjJVEZ8&previous_page_section_name=1000&federated_search_id=865968b1-f4b7-43e8-be94-e917d7576dd4
2025-06-26 bis 2025-06-29,Zimmer in St. Gallen,61 CHF,https://www.airbnb.com/rooms/25095257?check_in=2025-06-26&check_out=2025-06-29&search_mode=regular_search&category_tag=Tag%3A8678&photo_id=508945599&source_impression_id=p3_1742766533_P3jsXhIg3eEP5tZo&previous_page_section_name=1000&federated_search_id=865968b1-f4b7-43e8-be94-e917d7576dd4
2025-06-26 bis 2025-06-29,Scheune in Walzenhausen,108 CHF,https://www.airbnb.com/rooms/1104145055174865079?check_in=2025-06-26&check_out=2025-06-29&search_mode=regular_search&source_impression_id=p3_1742766533_P3wWPTbF34A-MSZL&previous_page_section_name=1000&federated_search_id=865968b1-f4b7-43e8-be94-e917d7576dd4
2025-06-26 bis 2025-06-29,Wohnung in Arbon,119 CHF,https://www.airbnb.com/rooms/1183915209349991691?check_in=2025-06-26&check_out=2025-06-29&search_mode=regular_search&source_impression_id=p3_1742766533_P3ft4vugJq2EQpT1&previous_page_section_name=1000&federated_search_id=865968b1-f4b7-43e8-be94-e917d7576dd4
2025-06-26 bis 2025-06-29,Ferienunterkunft in Schlatt-Haslen,128 CHF,https://www.airbnb.com/rooms/21207643?check_in=2025-06-26&check_out=2025-06-29&search_mode=regular_search&source_impression_id=p3_1742766533_P3Rs-6dwRdajnacb&previous_page_section_name=1000&federated_search_id=865968b1-f4b7-43e8-be94-e917d7576dd4
2025-06-26 bis 2025-06-29,Wohnung in Thal,150 CHF,https://www.airbnb.com/rooms/42016153?check_in=2025-06-26&check_out=2025-06-29&search_mode=regular_search&source_impression_id=p3_1742766533_P3WY8sgMaHvHUlw8&previous_page_section_name=1000&federated_search_id=865968b1-f4b7-43e8-be94-e917d7576dd4
2025-06-26 bis 2025-06-29,Wohnung in Heiden,110 CHF,https://www.airbnb.com/rooms/1023995351985106951?check_in=2025-06-26&check_out=2025-06-29&search_mode=regular_search&source_impression_id=p3_1742766533_P3_Xgr7VZdQgwGQb&previous_page_section_name=1000&federated_search_id=865968b1-f4b7-43e8-be94-e917d7576dd4
2025-06-26 bis 2025-06-29,Wohnung in Arbon,115 CHF,https://www.airbnb.com/rooms/1057129252817589508?check_in=2025-06-26&check_out=2025-06-29&search_mode=regular_search&source_impression_id=p3_1742766533_P3FmvY5m-yWdx4rU&previous_page_section_name=1000&federated_search_id=865968b1-f4b7-43e8-be94-e917d7576dd4
2025-06-26 bis 2025-06-29,Zimmer in St. Gallen,77 CHF,https://www.airbnb.com/rooms/9086918?check_in=2025-06-26&check_out=2025-06-29&search_mode=regular_search&category_tag=Tag%3A8678&photo_id=91496642&source_impression_id=p3_1742766547_P3MDXdt6xcEZwJoa&previous_page_section_name=1000&federated_search_id=ffede753-c80d-4515-be94-bb455943b866
2025-06-26 bis 2025-06-29,Wohnung in St. Gallen,133 CHF,https://www.airbnb.com/rooms/1201532087872965913?check_in=2025-06-26&check_out=2025-06-29&search_mode=regular_search&source_impression_id=p3_1742766547_P3pquDbX1F6_Xi8l&previous_page_section_name=1000&federated_search_id=ffede753-c80d-4515-be94-bb455943b866
2025-06-26 bis 2025-06-29,Zimmer in St. Gallen,57 CHF,https://www.airbnb.com/rooms/27068229?check_in=2025-06-26&check_out=2025-06-29&search_mode=regular_search&category_tag=Tag%3A8678&photo_id=837652346&source_impression_id=p3_1742766547_P3zC4cKsCfgYjLU0&previous_page_section_name=1000&federated_search_id=ffede753-c80d-4515-be94-bb455943b866
